English,Dutch,No. participants,Mode of rep,Semantical category,pp01,pp02,pp03,pp04,pp05,pp06,pp07,pp08,pp09,pp10,pp11,pp12,pp13,pp14,pp15,pp16,pp17,pp18,MEAN,x,y
TELEPHONE,TELEFOON,16,representing,Manipulable object,7,7,6,6,7,6,6,6,7,7,5,7,7,7,7,7,6,7,6.56,0.03835567768306493,-0.000473872067204399
ACCORDION,ACCORDEON,20,acting,Manipulable object,5,5,5,2,7,1,4,5,6,5,5,6,6,5,3,6,3,5,4.67,-0.04475132637356062,-0.06019473877478084
RACKET,TENNISRACKET,12,acting,Manipulable object,4,3,1,3,3,2,2,5,3,2,6,5,4,4,6,5,5,4,3.72,-0.011172421884885209,-0.004360584946327063
SALT,ZOUT,10,acting,Non-manipulable object,5,2,2,2,1,5,3,6,3,2,4,4,5,3,2,3,2,1,3.06,-0.03554475339044068,-0.005839519758831915
TO-CLAP,KLAPPEN,20,acting,Action without object,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7.0,0.028015922624207774,-0.03818824438365067
BUTTERFLY,VLINDER,11,representing,Animate ,1,3,3,3,1,3,3,2,2,2,4,6,5,5,5,2,3,2,3.06,0.01800955394385019,-0.01612408527689478
TO-PRAY,BIDDEN,20,acting,Action without object,3,7,6,6,5,7,2,6,5,4,6,7,7,4,7,4,6,6,5.44,0.04590028585107974,-0.01602016855401788
TO-CUT (scissors),KNIPPEN,18,representing,Action with object,7,6,5,7,7,7,7,7,7,7,6,7,7,7,7,7,7,7,6.78,0.015747345729042222,-0.0029038732278805334
WATCH,HORLOGE,17,acting,Manipulable object,6,6,7,6,6,6,6,6,4,5,5,7,6,6,5,7,7,5,5.89,0.048321311792000735,0.014907051991201164
HELICOPTER,HELIKOPTER,16,representing,Non-manipulable object,3,3,4,1,2,2,5,5,3,4,5,3,5,5,4,3,5,3,3.61,0.04365968748523829,0.0008232505320410901
TO-SAW,ZAGEN,16,acting,Action with object,6,5,5,5,6,5,6,6,4,6,6,6,6,6,2,5,2,5,5.11,0.03810222971414067,0.027893030764742893
CURTAINS,GORDIJNEN,10,acting,Manipulable object,4,4,3,3,2,1,1,5,3,3,3,5,4,2,1,3,2,2,2.83,0.03316938613230076,0.013055864389905768
TO-CRASH,BOTSEN,16,representing,Action with object,6,4,3,1,4,4,5,4,5,3,4,5,6,4,2,1,4,4,3.83,0.05390288344895129,-0.010009992109066614
TO-CUT (knife),SNIJDEN,15,acting,Action with object,4,3,4,4,6,3,3,5,4,4,4,5,3,4,1,3,3,5,3.78,-0.020861610704126555,-0.002506320488761034
BIKE,FIETS,11,acting,Non-manipulable object,1,4,5,3,6,4,5,2,5,5,5,6,5,3,1,5,5,3,4.06,0.04095756736197435,-0.011534480804325068
TO-TEAR,SCHEUREN,19,acting,Action with object,2,6,5,3,7,3,5,6,3,5,4,6,5,4,2,3,4,5,4.33,-0.014157185951192914,0.00968812056581978
MUG,MOK,15,acting,Manipulable object,6,5,4,1,2,3,2,6,5,5,3,4,5,4,1,2,1,3,3.44,-0.015142327374222353,0.020827853622286858
TOWEL,HANDDOEK,11,acting,Manipulable object,7,6,6,6,4,4,6,4,3,4,4,6,7,5,3,5,2,6,4.89,0.03965640092087802,0.0459873921283248
TO-SMS,SMS'EN,13,acting,Action with object,7,4,5,3,7,6,3,5,4,6,6,6,7,5,5,6,4,6,5.28,-0.015169925587591193,-0.017706311945825753
TO-SLAP,SLAAN,15,acting,Action without object,3,7,3,6,7,3,4,7,6,5,6,7,7,5,4,6,6,4,5.33,-0.04534772150764721,0.00970428495027188
TO-GO-DOWN,OMLAAG LOPEN,13,representing,Action without object,5,2,5,6,7,4,5,3,6,7,6,6,5,1,7,6,1,7,4.94,0.026220608251369088,-0.0014559713307046112
BANANA,BANAAN,14,acting,Manipulable object,7,2,5,6,4,3,5,7,4,7,6,7,6,4,2,7,3,6,5.06,0.03971788403334955,0.003740693592891787
KEY,SLEUTEL,18,acting,Manipulable object,5,4,4,5,5,3,4,6,3,5,5,7,7,5,1,6,3,5,4.61,0.019262197407184493,0.006632471800177516
TO-STINK,STINKEN,17,acting,Action without object,7,7,6,5,7,7,7,7,7,7,6,6,7,7,7,7,7,5,6.61,0.03494708796812801,-0.006170048630318748
TO-WHISK,OPKLOPPEN,18,acting,Action with object,6,6,4,7,6,6,6,5,5,4,5,7,7,6,4,4,3,3,5.22,-0.07881457308237254,-0.060652131483516704
MONKEY,AAP,16,personification,Animate ,7,4,6,6,7,6,7,6,6,6,6,5,7,6,6,7,3,3,5.78,0.0373954578625892,0.02022124560769134
BOOK,BOEK,16,representing,Manipulable object,3,3,6,6,7,6,5,6,5,7,5,7,6,6,4,7,6,5,5.56,0.04104330354231297,0.011355470745283092
TO-ROW,ROEIEN,18,acting,Action with object,3,1,5,4,5,3,6,6,4,2,4,7,6,5,3,5,2,3,4.11,0.01932599058617336,-0.0008482586568710123
TO-RUN,RENNEN,19,acting,Action without object,7,7,6,7,7,5,7,6,4,6,6,6,7,6,6,5,6,5,6.06,0.047413227605455466,-0.0006643723790484922
TO-BREAK,BREKEN,14,acting,Action with object,5,4,4,7,7,4,7,5,5,6,5,7,7,5,6,6,5,5,5.56,0.018148554633927616,0.011942973183690999
LIGHTER,AANSTEKER,15,acting,Manipulable object,3,7,5,5,5,5,6,5,3,5,5,6,6,6,1,5,5,3,4.78,0.0535113632265478,0.01218240779694128
RATTLE,RAMMELAAR,19,acting,Manipulable object,1,2,4,4,7,4,1,5,3,3,4,6,7,4,2,3,1,2,3.5,-0.0033836336859600705,-0.027711707528067814
TO-ITCH,KRABBEN,20,acting,Action without object,5,3,6,7,7,6,7,7,6,6,6,7,7,7,2,6,6,7,6.0,-0.027622781089728477,0.014644948531602708
