time,X_RIGHT_INDEX,Y_RIGHT_INDEX,Z_RIGHT_INDEX,env,Z_RIGHT_INDEXlowpass10,Z_RIGHT_INDEXlowpass30,Z_RIGHT_INDEXguassianfilt,speed,vertical_velocity,acceleration,jerk,gesture_type,gesture_ID
10.0,0.22974093503743348,-0.016559003002225167,-0.35116906158698846,0.0,-0.35114975752552624,-0.3511690959161954,-0.3433971029747445,-0.6489290171516708,0.003911996478307716,-0.0010654241727439272,-0.0007695200795344342,,
20.0,0.22939061025798935,-0.022252486388971874,-0.34594188198892817,0.0,-0.343976036113991,-0.34663782871409293,-0.3400468857667793,0.57928661107832,-0.9641651506431401,2.8990732283021496,2.495959853289475,,
30.0,0.22659459050550135,-0.02544078035188717,-0.33778919893382187,0.0,-0.33575238246736117,-0.3383957622335265,-0.3338882734323,1.4721093659734998,-0.9287267219857963,4.077713633819179,2.721757840934018,,
40.0,0.2203582565389598,-0.023901431360059344,-0.32686908324834185,0.0,-0.3265212249455359,-0.3258375464801959,-0.32591625407960734,2.2293922086155447,0.390579595200471,4.173595431284833,1.4096172378951257,,
50.0,0.21193999331574903,-0.014946078070536037,-0.31550761833703433,0.0,-0.31747163631256564,-0.3158134261227227,-0.3173504162145911,3.2632340293432467,2.700725684690685,4.455560901215012,0.24530351304066952,,
60.0,0.2040907003390649,0.004825540854365989,-0.3055369325281575,0.0,-0.3091794932222846,-0.30624607916053315,-0.309314682986241,4.598043536427614,5.381682995804951,4.710785726436439,-0.4156587665763615,,
70.0,0.19960539969595875,0.03489710798678244,-0.29826543915253156,0.0,-0.3022280332061582,-0.2974734333140445,-0.3025522328375895,5.804214449456055,7.591611321383084,4.311877302747559,-0.39475180724230485,,
80.0,0.19934448269038046,0.06909816157278247,-0.29427456119116535,0.0,-0.29719487770091224,-0.2945598264157543,-0.2972583655498163,6.632409165037619,8.95549484321795,4.124307816996916,1.1373321378073813,,
90.0,0.20027030291456435,0.10469488653617434,-0.2921934612755978,0.0,-0.2933332939910578,-0.2929477293951266,-0.2930956248985667,7.642490535178003,10.239489433151622,5.826554990752037,3.696307119748224,,
100.0,0.19670429744722295,0.14809966070503228,-0.29019635799174287,0.0050852674347477,-0.28972161553263415,-0.29011782026725175,-0.2894019407058359,9.688296581623336,12.603211238488353,8.988521119992384,4.054518277665878,,
110.0,0.18540510461912765,0.20593411403718148,-0.28772252333286424,0.0047543077646722,-0.28594464787873297,-0.2868972050291174,-0.28546472793825883,12.506882722093433,15.891831431027715,9.834423329319316,-1.0129065397055164,,
120.0,0.1690158771870463,0.2746159791122737,-0.2842335751012405,0.0044668077418485,-0.28171180309943833,-0.28378677920363005,-0.28075983799367654,14.234741889514067,18.078207666095572,4.544648410434805,-9.901812379779727,,
130.0,0.15409937194811807,0.33966932013310414,-0.2779658337021164,0.0042108789555922,-0.2766053843608497,-0.27877252237912076,-0.2752313645111102,12.917703035349838,16.749336822644015,-5.62984255316574,-15.59335402883437,,
140.0,0.1465705688007629,0.38269776519942744,-0.2679101900346938,0.0039793782503396,-0.27074229823721213,-0.26897582293331657,-0.26962632125977826,8.834559123595133,11.263649689359353,-13.804967524777767,-11.84491376752177,,
150.0,0.1477979642172721,0.39383074029854603,-0.25695531122799975,0.0037673289651682,-0.2658052178956926,-0.2575284428787085,-0.2655755672611686,4.871229161810244,3.528980859848979,-13.652187577621293,-0.21920729042061246,,
160.0,0.15403551301366578,0.3785936607791419,-0.2514771242048116,0.0035712327495507,-0.2645188347877761,-0.2506939222160807,-0.2650656275938182,3.6669027474381464,-3.3653826169978354,-6.00580484938845,10.457935261035328,,
170.0,0.16023082195392224,0.3503196431242832,-0.2563655488865953,0.0033891647917024,-0.2690755091902173,-0.2561365276752186,-0.2694649674300711,4.889256371932042,-7.361978021851131,2.1241626329678134,12.4773257885469,,
180.0,0.16397580687716087,0.3197221239465662,-0.27048340342801375,0.0032198884278893,-0.27915955470618725,-0.27201529344001574,-0.2788131722855769,6.355291404127409,-8.449792826329052,5.010684014567486,6.348042705441278,,
190.0,0.16583902046452415,0.29126718862257023,-0.28851701081911146,0.0030614804910365,-0.2925058568719104,-0.2898823915864818,-0.2919118207130706,6.822832826708484,-7.946484322284614,3.0789582945023817,-0.9454636897350082,,
200.0,0.1672229129010748,0.26487337022204427,-0.3067941906239384,0.0029125962066118,-0.3071391582433159,-0.3068815806096026,-0.30697361875956486,6.632974503978827,-7.256658763233569,0.4887961303991953,-3.5913421955524103,,
210.0,0.16880154113370424,0.23883021809438054,-0.3252295271391841,0.0027727001052303,-0.3219042170554881,-0.32369871102122894,-0.32213417543541406,6.570619027303289,-7.230193702299639,0.013891568924364791,-1.6871486615050602,,
220.0,0.17067152460993645,0.21004130884724928,-0.3436344412253792,0.0026419311788432,-0.33573899025691734,-0.3420059425378051,-0.33557459860198435,6.955466371213146,-8.062537792458603,1.1451438413884882,0.7707151475919743,,
230.0,0.17283069222950545,0.17546082790125037,-0.3579246300851209,0.0025195224143949,-0.3467221720169292,-0.35838843450822644,-0.3456971137376058,7.524971923102624,-9.300053230398014,1.8296382799470159,0.7169728919696186,,
240.0,0.17503794360429606,0.13712419927695013,-0.36249943805952145,0.0024043179265306,-0.3527883162946794,-0.36416542213902714,-0.35174430397860085,7.775367125343199,-10.094789543204072,0.7775997581904246,-1.623241563646892,,
250.0,0.1765963244455434,0.1008712299905397,-0.3573921355667434,0.0022958712243453,-0.35418468095095523,-0.3573498175696036,-0.3544456473821544,7.35249128410174,-9.8235593043688,-1.7040543781054158,-3.9494681845287216,,
